string,int,int,MW
name,year,partition,peak_demand
NL_E_Demand,2050,1,37487.25257
BE_E_Demand,2050,2,26322.90865
DE_E_Demand,2050,1,125041.1243
FR_E_Demand,2050,2,91601.00618
DK_E_Demand,2050,1,6316.626413
UK_E_Demand,2050,1,118630.2474
IE_E_Demand,2050,2,10918.34823
CH_E_Demand,2050,4,12735.08856
AT_E_Demand,2050,4,18775.78042
LU_E_Demand,2050,4,2670.942648
CZ_E_Demand,2050,4,13127.73612
PL_E_Demand,2050,3,37059.16112
SE_E_Demand,2050,4,29958.16458
NO_E_Demand,2050,1,30109.65055
ES_E_Demand,2050,3,55090.26507
PT_E_Demand,2050,4,10411.0523
IT_E_Demand,2050,4,80321.05864
MT_E_Demand,2050,4,632.2089885
SI_E_Demand,2050,4,3461.524237
HU_E_Demand,2050,4,12967.15039
SK_E_Demand,2050,4,6547.951746
LT_E_Demand,2050,4,3420.536077
LV_E_Demand,2050,4,2358.298063
EE_E_Demand,2050,4,2709.725187
FI_E_Demand,2050,4,19297.61551
HR_E_Demand,2050,4,4605.988696
GR_E_Demand,2050,4,16631.27631
BG_E_Demand,2050,4,7401.237471
RO_E_Demand,2050,4,15814.56593
CY_E_Demand,2050,4,1563.589525
OBZLL_E_Demand,2050,1,0
OBZNL1_E_Demand,2050,1,0
OBZNL2_E_Demand,2050,1,0
OBZNL3_E_Demand,2050,1,0
OBZNL4_E_Demand,2050,1,0
OBZNL5_E_Demand,2050,1,0
OBZNL6_E_Demand,2050,1,0
OBZDE1_E_Demand,2050,1,0
OBZDK1_E_Demand,2050,1,0
NL_H_Demand,2050,1,33459.38504
BE_H_Demand,2050,2,18694.23
DE_H_Demand,2050,1,102981.9
FR_H_Demand,2050,2,7514.993
DK_H_Demand,2050,1,3306.751
UK_H_Demand,2050,1,35589.07422
IE_H_Demand,2050,2,5852.76
CH_H_Demand,2050,4,3820.526568
AT_H_Demand,2050,4,8313.709039
LU_H_Demand,2050,4,723.6017917
CZ_H_Demand,2050,4,8085.439419
PL_H_Demand,2050,4,20366.76261
SE_H_Demand,2050,4,11343.94372
NO_H_Demand,2050,1,9032.895165
ES_H_Demand,2050,4,30762.97647
PT_H_Demand,2050,4,4560.24809
IT_H_Demand,2050,4,34524.82925
MT_H_Demand,2050,4,1689.320914
SI_H_Demand,2050,4,815.2033187
HU_H_Demand,2050,4,6975.526667
SK_H_Demand,2050,4,4072.671409
LT_H_Demand,2050,4,2571.387809
LV_H_Demand,2050,4,738.5570903
EE_H_Demand,2050,4,356.5830884
FI_H_Demand,2050,4,6979.935049
HR_H_Demand,2050,4,1741.653744
GR_H_Demand,2050,4,9170.059172
BG_H_Demand,2050,4,2215.904751
RO_H_Demand,2050,4,7593.417866
CY_H_Demand,2050,4,449.8454646
OBZLL_H_Demand,2050,1,0
OBZNL1_H_Demand,2050,1,0
OBZNL2_H_Demand,2050,1,0
OBZNL3_H_Demand,2050,1,0
OBZNL4_H_Demand,2050,1,0
OBZNL5_H_Demand,2050,1,0
OBZNL6_H_Demand,2050,1,0
OBZDE1_H_Demand,2050,1,0
OBZDK1_H_Demand,2050,1,0
