,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,active,year,commission_year,investable,investment_integer,investment_limit,initial_units,peak_demand,consumer_balance_sense,is_seasonal,storage_inflows,initial_storage_units,initial_storage_level,energy_to_power_ratio,storage_method_energy,investment_limit_storage_energy,investment_integer_storage_energy,use_binary_storage_method,max_energy_timeframe_partition,min_energy_timeframe_partition,unit_commitment,unit_commitment_method,units_on_cost,unit_commitment_integer,min_operating_point,ramping,max_ramp_up,max_ramp_down
NL_E_Demand,true,2030,2030,false,false,,0,21291.22,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
BE_E_Demand,true,2030,2030,false,false,,0,14380.34,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DE_E_Demand,true,2030,2030,false,false,,0,90152.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
FR_E_Demand,true,2030,2030,false,false,,0,85861.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DK_E_Demand,true,2030,2030,false,false,,0,9633.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
UK_E_Demand,true,2030,2030,false,false,,0,61936.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IE_E_Demand,true,2030,2030,false,false,,0,6280.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CH_E_Demand,true,2030,2030,false,false,,0,10383.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
AT_E_Demand,true,2030,2030,false,false,,0,13428.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
LU_E_Demand,true,2030,2030,false,false,,0,1272.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CZ_E_Demand,true,2030,2030,false,false,,0,11417.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PL_E_Demand,true,2030,2030,false,false,,0,27889.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SE_E_Demand,true,2030,2030,false,false,,0,24623.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
NO_E_Demand,true,2030,2030,false,false,,0,27028.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
ES_E_Demand,true,2030,2030,false,false,,0,44844.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
PT_E_Demand,true,2030,2030,false,false,,0,9030.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
IT_E_Demand,true,2030,2030,false,false,,0,62099.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
MT_E_Demand,true,2030,2030,false,false,,0,552.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SI_E_Demand,true,2030,2030,false,false,,0,2448.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
HU_E_Demand,true,2030,2030,false,false,,0,10349.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SK_E_Demand,true,2030,2030,false,false,,0,1056.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
LT_E_Demand,true,2030,2030,false,false,,0,2131.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
LV_E_Demand,true,2030,2030,false,false,,0,1409.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
EE_E_Demand,true,2030,2030,false,false,,0,1551.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
FI_E_Demand,true,2030,2030,false,false,,0,16523.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
HR_E_Demand,true,2030,2030,false,false,,0,2955.0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
