,,,,,,,,,,,,,
name,type,group,investment_method,capacity,technical_lifetime,economic_lifetime,discount_rate,capacity_storage_energy,country,technology,lat,lon
NL_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,NL,Demand,52.1326,5.2913
BE_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,BE,Demand,50.8503,4.3517
DE_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,DE,Demand,51.1657,10.4515
FR_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,FR,Demand,46.6034,1.8883
DK_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,DK,Demand,56.2639,9.5018
UK_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,UK,Demand,55.3781,-3.436
IE_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,IE,Demand,53.1424,-7.6921
CH_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,CH,Demand,46.8182,8.2275
AT_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,AT,Demand,47.5162,14.5501
LU_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,LU,Demand,49.8153,6.1296
CZ_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,CZ,Demand,49.8175,15.473
PL_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,PL,Demand,51.9194,19.1451
SE_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,SE,Demand,60.1282,18.6435
NO_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,NO,Demand,60.472,8.4689
ES_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,ES,Demand,40.4637,-3.7492
PT_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,PT,Demand,39.3999,-8.2245
IT_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,IT,Demand,41.8719,12.5674
MT_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,MT,Demand,35.9375,14.3754
SI_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,SI,Demand,46.1512,14.9955
HU_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,HU,Demand,47.1625,19.5033
SK_E_Demand,consumer,,none,0.0,1.0,1.0,0.0,0.0,SK,Demand,48.669,19.699
