,,,p.u.
profile_name,year,period,value
NO_Hydro_Min_Storage_Level,2050,1,0.5466666669999979
NO_Hydro_Min_Storage_Level,2050,2,0.5276666670000006
NO_Hydro_Min_Storage_Level,2050,3,0.508333333
NO_Hydro_Min_Storage_Level,2050,4,0.4853333329999999
NO_Hydro_Min_Storage_Level,2050,5,0.46033333299999973
NO_Hydro_Min_Storage_Level,2050,6,0.42933333300000115
NO_Hydro_Min_Storage_Level,2050,7,0.39433333299999934
NO_Hydro_Min_Storage_Level,2050,8,0.3576666669999985
NO_Hydro_Min_Storage_Level,2050,9,0.3286666670000002
NO_Hydro_Min_Storage_Level,2050,10,0.300666667000001
NO_Hydro_Min_Storage_Level,2050,11,0.2700000000000007
NO_Hydro_Min_Storage_Level,2050,12,0.23933333299999987
NO_Hydro_Min_Storage_Level,2050,13,0.21466666700000003
NO_Hydro_Min_Storage_Level,2050,14,0.18833333299999944
NO_Hydro_Min_Storage_Level,2050,15,0.16766666699999966
NO_Hydro_Min_Storage_Level,2050,16,0.16000000000000011
NO_Hydro_Min_Storage_Level,2050,17,0.15866666699999957
NO_Hydro_Min_Storage_Level,2050,18,0.1580000000000004
NO_Hydro_Min_Storage_Level,2050,19,0.16000000000000011
NO_Hydro_Min_Storage_Level,2050,20,0.19566666700000032
NO_Hydro_Min_Storage_Level,2050,21,0.2206666670000002
NO_Hydro_Min_Storage_Level,2050,22,0.2656666669999998
NO_Hydro_Min_Storage_Level,2050,23,0.3183333329999988
NO_Hydro_Min_Storage_Level,2050,24,0.3666666669999987
NO_Hydro_Min_Storage_Level,2050,25,0.41066666700000065
NO_Hydro_Min_Storage_Level,2050,26,0.43366666699999856
NO_Hydro_Min_Storage_Level,2050,27,0.4713333329999997
NO_Hydro_Min_Storage_Level,2050,28,0.49566666699999923
NO_Hydro_Min_Storage_Level,2050,29,0.5163333330000008
NO_Hydro_Min_Storage_Level,2050,30,0.5316666669999999
NO_Hydro_Min_Storage_Level,2050,31,0.5460000000000016
NO_Hydro_Min_Storage_Level,2050,32,0.5633333330000017
NO_Hydro_Min_Storage_Level,2050,33,0.572999999999998
NO_Hydro_Min_Storage_Level,2050,34,0.5836666670000017
NO_Hydro_Min_Storage_Level,2050,35,0.5916666669999987
NO_Hydro_Min_Storage_Level,2050,36,0.5976666669999988
NO_Hydro_Min_Storage_Level,2050,37,0.5943333329999987
NO_Hydro_Min_Storage_Level,2050,38,0.5883333329999986
NO_Hydro_Min_Storage_Level,2050,39,0.5913333329999987
NO_Hydro_Min_Storage_Level,2050,40,0.6146666669999986
NO_Hydro_Min_Storage_Level,2050,41,0.6383333330000016
NO_Hydro_Min_Storage_Level,2050,42,0.6546666670000006
NO_Hydro_Min_Storage_Level,2050,43,0.6629999999999977
NO_Hydro_Min_Storage_Level,2050,44,0.6853333330000018
NO_Hydro_Min_Storage_Level,2050,45,0.6923333329999972
NO_Hydro_Min_Storage_Level,2050,46,0.6846666670000011
NO_Hydro_Min_Storage_Level,2050,47,0.6693333329999982
NO_Hydro_Min_Storage_Level,2050,48,0.6523333330000012
NO_Hydro_Min_Storage_Level,2050,49,0.6340000000000002
NO_Hydro_Min_Storage_Level,2050,50,0.613333333
NO_Hydro_Min_Storage_Level,2050,51,0.5939999999999984
NO_Hydro_Min_Storage_Level,2050,52,0.5743333329999988
NO_Hydro_Min_Storage_Level,2050,53,0.0
CH_Pump_Hydro_Open_Min_Storage_Level,2050,1,0.5109070750000008
CH_Pump_Hydro_Open_Min_Storage_Level,2050,2,0.48960370799999997
CH_Pump_Hydro_Open_Min_Storage_Level,2050,3,0.455094743999999
CH_Pump_Hydro_Open_Min_Storage_Level,2050,4,0.4043902379999995
CH_Pump_Hydro_Open_Min_Storage_Level,2050,5,0.35381031299999866
CH_Pump_Hydro_Open_Min_Storage_Level,2050,6,0.3031058070000009
CH_Pump_Hydro_Open_Min_Storage_Level,2050,7,0.282425345
CH_Pump_Hydro_Open_Min_Storage_Level,2050,8,0.26186946400000005
CH_Pump_Hydro_Open_Min_Storage_Level,2050,9,0.2411890019999993
CH_Pump_Hydro_Open_Min_Storage_Level,2050,10,0.2205085400000002
CH_Pump_Hydro_Open_Min_Storage_Level,2050,11,0.20917166000000004
