,,,p.u.
year,period,rep_period,weight
2050,1,1,1.0
2050,2,1,1.0
2050,3,1,1.0
2050,4,1,1.0
2050,5,1,1.0
2050,6,1,1.0
2050,7,1,1.0
2050,8,1,1.0
2050,9,1,1.0
2050,10,1,1.0
2050,11,1,1.0
2050,12,1,1.0
2050,13,1,1.0
2050,14,1,1.0
2050,15,1,1.0
2050,16,1,1.0
2050,17,1,1.0
2050,18,1,1.0
2050,19,1,1.0
2050,20,1,1.0
2050,21,1,1.0
2050,22,1,1.0
2050,23,1,1.0
2050,24,1,1.0
2050,25,1,1.0
2050,26,1,1.0
2050,27,1,1.0
2050,28,1,1.0
2050,29,1,1.0
2050,30,1,1.0
2050,31,1,1.0
2050,32,1,1.0
2050,33,1,1.0
2050,34,1,1.0
2050,35,1,1.0
2050,36,1,1.0
2050,37,1,1.0
2050,38,1,1.0
2050,39,1,1.0
2050,40,1,1.0
2050,41,1,1.0
2050,42,1,1.0
2050,43,1,1.0
2050,44,1,1.0
2050,45,1,1.0
2050,46,1,1.0
2050,47,1,1.0
2050,48,1,1.0
2050,49,1,1.0
2050,50,1,1.0
2050,51,1,1.0
2050,52,1,1.0
2050,53,2,1.0
