string,string,string,string,degrees,degrees
name,type,country,technology,lat,lon
NL_E_Demand,consumer,NL,Demand,52.1326,5.2913
BE_E_Demand,consumer,BE,Demand,50.8503,4.3517
DE_E_Demand,consumer,DE,Demand,51.1657,10.4515
FR_E_Demand,consumer,FR,Demand,46.6034,1.8883
DK_E_Demand,consumer,DK,Demand,56.2639,9.5018
UK_E_Demand,consumer,UK,Demand,55.3781,-3.4360
IE_E_Demand,consumer,IE,Demand,53.1424,-7.6921
CH_E_Demand,consumer,CH,Demand,46.8182,8.2275
AT_E_Demand,consumer,AT,Demand,47.5162,14.5501
LU_E_Demand,consumer,LU,Demand,49.8153,6.1296
CZ_E_Demand,consumer,CZ,Demand,49.8175,15.4730
PL_E_Demand,consumer,PL,Demand,51.9194,19.1451
SE_E_Demand,consumer,SE,Demand,60.1282,18.6435
NO_E_Demand,consumer,NO,Demand,60.4720,8.4689
ES_E_Demand,consumer,ES,Demand,40.4637,-3.7492
PT_E_Demand,consumer,PT,Demand,39.3999,-8.2245
IT_E_Demand,consumer,IT,Demand,41.8719,12.5674
MT_E_Demand,consumer,MT,Demand,35.9375,14.3754
SI_E_Demand,consumer,SI,Demand,46.1512,14.9955
HU_E_Demand,consumer,HU,Demand,47.1625,19.5033
SK_E_Demand,consumer,SK,Demand,48.6690,19.6990
LT_E_Demand,consumer,LT,Demand,55.1694,23.8813
LV_E_Demand,consumer,LV,Demand,56.8796,24.6032
EE_E_Demand,consumer,EE,Demand,58.5953,25.0136
FI_E_Demand,consumer,FI,Demand,61.9241,25.7482
HR_E_Demand,consumer,HR,Demand,45.1,15.2
GR_E_Demand,consumer,GR,Demand,39.0742,21.8243
BG_E_Demand,consumer,BG,Demand,42.7339,25.4858
RO_E_Demand,consumer,RO,Demand,45.9432,24.9668
CY_E_Demand,consumer,CY,Demand,35.1264,33.4299
OBZLL_E_Demand,consumer,OBZLL,Demand,53.1705,3.5288
