string,string,MW,string,degrees,degrees
name,type,capacity,technology,lat,lon
NL_E_ENS,producer,33775.8785,ENS,52.1326,5.2913
NL_Wind_Onshore,producer,20000,Wind_Onshore,52.1326,5.2913
NL_Wind_Offshore,producer,29550,Wind_Offshore,52.1326,5.2913
NL_Solar,producer,99984,Solar,52.1326,5.2913
NL_Gas,producer,15250,Gas,52.1326,5.2913
NL_OCGT,producer,0,Gas,52.1326,5.2913
BE_E_ENS,producer,23582.92406,ENS,50.8503,4.3517
BE_Wind_Onshore,producer,10000,Wind_Onshore,50.8503,4.3517
BE_Wind_Offshore,producer,10960,Wind_Offshore,50.8503,4.3517
BE_Solar,producer,55000,Solar,50.8503,4.3517
BE_Hydro,producer,165,Hydro,50.8503,4.3517
BE_Gas,producer,8868,Gas,50.8503,4.3517
BE_OCGT,producer,244,Gas,50.8503,4.3517
DE_E_ENS,producer,119083.5828,ENS,51.1657,10.4515
DE_Wind_Onshore,producer,191500,Wind_Onshore,51.1657,10.4515
DE_Wind_Offshore,producer,68585,Wind_Offshore,51.1657,10.4515
DE_Solar,producer,456389,Solar,51.1657,10.4515
DE_Hydro,producer,4753,Hydro,51.1657,10.4515
DE_Coal,producer,0,Coal,51.1657,10.4515
DE_Gas,producer,33582,Gas,51.1657,10.4515
DE_OCGT,producer,0,Gas,51.1657,10.4515
FR_E_ENS,producer,92160,ENS,46.6034,1.8883
FR_Wind_Onshore,producer,80000,Wind_Onshore,46.6034,1.8883
FR_Wind_Offshore,producer,43570,Wind_Offshore,46.6034,1.8883
FR_Solar,producer,193594,Solar,46.6034,1.8883
FR_Hydro,producer,23447,Hydro,46.6034,1.8883
FR_Nuclear,producer,50139,Nuclear,46.6034,1.8883
FR_Gas,producer,10839,Gas,46.6034,1.8883
FR_OCGT,producer,0,Gas,46.6034,1.8883
DK_E_ENS,producer,5894.6533,ENS,56.2639,9.5018
DK_Wind_Onshore,producer,11393,Wind_Onshore,56.2639,9.5018
DK_Wind_Offshore,producer,40191,Wind_Offshore,56.2639,9.5018
DK_Solar,producer,24446,Solar,56.2639,9.5018
DK_Gas,producer,10,Gas,56.2639,9.5018
DK_OCGT,producer,612,Gas,56.2639,9.5018
