string,int,int,#units,{true;false},{missing;basic},kEUR/h/unit_on,{true;false},[p.u.],{true;false},[p.u.],[p.u.]
name,year,partition,initial_units,unit_commitment,unit_commitment_method,units_on_cost,unit_commitment_integer,min_operating_point,ramping,max_ramp_up,max_ramp_down
NL_E_ENS,2050,1,1,FALSE,,,FALSE,,FALSE,,
NL_Wind_Onshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
NL_Wind_Offshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
NL_Solar,2050,1,1,FALSE,,,FALSE,,FALSE,,
NL_Gas,2050,1,1,FALSE,,,FALSE,,FALSE,,
NL_OCGT,2050,2,1,FALSE,,,FALSE,,FALSE,,
BE_E_ENS,2050,2,1,FALSE,,,FALSE,,FALSE,,
BE_Wind_Onshore,2050,2,1,FALSE,,,FALSE,,FALSE,,
BE_Wind_Offshore,2050,2,1,FALSE,,,FALSE,,FALSE,,
BE_Solar,2050,2,1,FALSE,,,FALSE,,FALSE,,
BE_Hydro,2050,2,1,FALSE,,,FALSE,,FALSE,,
BE_Gas,2050,2,1,FALSE,,,FALSE,,FALSE,,
BE_OCGT,2050,2,1,FALSE,,,FALSE,,FALSE,,
DE_E_ENS,2050,1,1,FALSE,,,FALSE,,FALSE,,
DE_Wind_Onshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
DE_Wind_Offshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
DE_Solar,2050,1,1,FALSE,,,FALSE,,FALSE,,
DE_Hydro,2050,1,1,FALSE,,,FALSE,,FALSE,,
DE_Coal,2050,1,1,FALSE,,,FALSE,,FALSE,,
DE_Gas,2050,1,1,FALSE,,,FALSE,,FALSE,,
DE_OCGT,2050,1,1,FALSE,,,FALSE,,FALSE,,
FR_E_ENS,2050,2,1,FALSE,,,FALSE,,FALSE,,
FR_Wind_Onshore,2050,2,1,FALSE,,,FALSE,,FALSE,,
FR_Wind_Offshore,2050,2,1,FALSE,,,FALSE,,FALSE,,
FR_Solar,2050,2,1,FALSE,,,FALSE,,FALSE,,
FR_Hydro,2050,2,1,FALSE,,,FALSE,,FALSE,,
FR_Nuclear,2050,2,1,FALSE,,,FALSE,,FALSE,,
FR_Gas,2050,2,1,FALSE,,,FALSE,,FALSE,,
FR_OCGT,2050,2,1,FALSE,,,FALSE,,FALSE,,
DK_E_ENS,2050,1,1,FALSE,,,FALSE,,FALSE,,
DK_Wind_Onshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
DK_Wind_Offshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
DK_Solar,2050,1,1,FALSE,,,FALSE,,FALSE,,
DK_Gas,2050,1,1,FALSE,,,FALSE,,FALSE,,
DK_OCGT,2050,1,1,FALSE,,,FALSE,,FALSE,,
UK_E_ENS,2050,1,1,FALSE,,,FALSE,,FALSE,,
UK_Wind_Onshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
UK_Wind_Offshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
UK_Solar,2050,1,1,FALSE,,,FALSE,,FALSE,,
UK_Hydro,2050,1,1,FALSE,,,FALSE,,FALSE,,
UK_Nuclear,2050,1,1,FALSE,,,FALSE,,FALSE,,
UK_Gas,2050,1,1,FALSE,,,FALSE,,FALSE,,
UK_OCGT,2050,1,1,FALSE,,,FALSE,,FALSE,,
IE_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
IE_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
IE_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
IE_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
IE_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
IE_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
IE_OCGT,2050,4,1,FALSE,,,FALSE,,FALSE,,
CH_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
CH_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
CH_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
CH_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
CH_Nuclear,2050,4,1,FALSE,,,FALSE,,FALSE,,
AT_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
AT_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
AT_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
AT_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
AT_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
LU_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
LU_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
LU_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
LU_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
CZ_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
CZ_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
CZ_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
CZ_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
CZ_Nuclear,2050,4,1,FALSE,,,FALSE,,FALSE,,
CZ_Coal,2050,4,1,FALSE,,,FALSE,,FALSE,,
CZ_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
PL_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
PL_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
PL_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
PL_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
PL_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
PL_Coal,2050,4,1,FALSE,,,FALSE,,FALSE,,
PL_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
SE_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
SE_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
SE_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
SE_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
SE_Nuclear,2050,4,1,FALSE,,,FALSE,,FALSE,,
SE_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
SE_OCGT,2050,4,1,FALSE,,,FALSE,,FALSE,,
NO_E_ENS,2050,1,1,FALSE,,,FALSE,,FALSE,,
NO_Wind_Onshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
NO_Wind_Offshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
NO_Solar,2050,1,1,FALSE,,,FALSE,,FALSE,,
ES_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
ES_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
ES_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
