string,string,MW,MWh,string,bool,degrees,degrees
name,type,capacity,capacity_storage_energy,technology,is_seasonal,lat,lon
NL_Battery,storage,52294,156882,Battery,FALSE,52.1326,5.2913
BE_Battery,storage,1130,3390,Battery,FALSE,50.5039,4.4699
DE_Hydro_Reservoir,storage,1297,258600,Hydro_Reservoir,TRUE,51.1657,10.4515
DE_Battery,storage,111097,333291,Battery,FALSE,51.1657,10.4515
DE_Pump_Hydro_Closed,storage,7382,242200,PHS,TRUE,51.1657,10.4515
DE_Pump_Hydro_Open,storage,1644,416700,PHS,TRUE,51.1657,10.4515
FR_Hydro_Reservoir,storage,8785,10000000,Hydro_Reservoir,TRUE,46.6034,1.8883
FR_Pump_Hydro_Closed,storage,1950,10000,PHS,TRUE,46.6034,1.8883
FR_Pump_Hydro_Open,storage,1850,90000,PHS,TRUE,46.6034,1.8883
UK_Battery,storage,12932,38796,Battery,FALSE,55.3781,-3.436
UK_Pump_Hydro_Closed,storage,2744,26400,PHS,TRUE,55.3781,-3.436
IE_Battery,storage,52206,156618,Battery,FALSE,53.1424,-7.6921
IE_Pump_Hydro_Closed,storage,292,1700,PHS,TRUE,53.1424,-7.6921
CH_Battery,storage,5050,15150,Battery,FALSE,46.8182,8.2275
CH_Pump_Hydro_Closed,storage,2170,70000,PHS,TRUE,46.8182,8.2275
CH_Pump_Hydro_Open,storage,10732,8800000,PHS,TRUE,46.8182,8.2275
AT_Hydro_Reservoir,storage,2489,757000,Hydro_Reservoir,TRUE,47.5162,14.5501
AT_Battery,storage,304,912,Battery,FALSE,47.5162,14.5501
AT_Pump_Hydro_Closed,storage,300,1800,PHS,TRUE,47.5162,14.5501
AT_Pump_Hydro_Open,storage,5793,1732600,PHS,TRUE,47.5162,14.5501
LU_Pump_Hydro_Closed,storage,1310,5000,PHS,TRUE,49.8153,6.1296
CZ_Hydro_Reservoir,storage,698,2500,Hydro_Reservoir,TRUE,49.8175,15.473
CZ_Battery,storage,3610,10830,Battery,FALSE,49.8175,15.473
CZ_Pump_Hydro_Closed,storage,688,3700,PHS,TRUE,49.8175,15.473
CZ_Pump_Hydro_Open,storage,470,2300,PHS,TRUE,49.8175,15.473
PL_Hydro_Reservoir,storage,272,800,Hydro_Reservoir,TRUE,51.9194,19.1451
PL_Pump_Hydro_Closed,storage,1323,6300,PHS,TRUE,51.9194,19.1451
PL_Pump_Hydro_Open,storage,216,1500,PHS,TRUE,51.9194,19.1451
SE_Hydro_Reservoir,storage,16447,31931326,Hydro_Reservoir,TRUE,60.1282,18.6435
SE_Battery,storage,543,1629,Battery,FALSE,60.1282,18.6435
NO_Pump_Hydro_Open,storage,760,4560,PHS,TRUE,60.472,8.4689
NO_Hydro_Reservoir,storage,30728,89577400,Hydro_Reservoir,TRUE,60.472,8.4689
