string,string,string,{true;false},MW
from_asset,to_asset,carrier,is_transport,capacity
NL_E_Balance,BE_E_Balance,electricity,TRUE,1000
DE_E_Balance,NL_E_Balance,electricity,TRUE,1000
DE_E_Balance,BE_E_Balance,electricity,TRUE,1000
FR_E_Balance,DE_E_Balance,electricity,TRUE,1000
FR_E_Balance,BE_E_Balance,electricity,TRUE,1000
DK_E_Balance,DE_E_Balance,electricity,TRUE,1000
DK_E_Balance,NL_E_Balance,electricity,TRUE,1000
UK_E_Balance,BE_E_Balance,electricity,TRUE,1000
UK_E_Balance,DK_E_Balance,electricity,TRUE,1000
UK_E_Balance,FR_E_Balance,electricity,TRUE,1000
UK_E_Balance,NL_E_Balance,electricity,TRUE,1000
IE_E_Balance,UK_E_Balance,electricity,TRUE,1000
IE_E_Balance,FR_E_Balance,electricity,TRUE,1000
CH_E_Balance,DE_E_Balance,electricity,TRUE,1000
CH_E_Balance,FR_E_Balance,electricity,TRUE,1000
AT_E_Balance,CH_E_Balance,electricity,TRUE,1000
AT_E_Balance,DE_E_Balance,electricity,TRUE,1000
LU_E_Balance,BE_E_Balance,electricity,TRUE,1000
LU_E_Balance,DE_E_Balance,electricity,TRUE,1000
LU_E_Balance,FR_E_Balance,electricity,TRUE,1000
CZ_E_Balance,AT_E_Balance,electricity,TRUE,1000
CZ_E_Balance,DE_E_Balance,electricity,TRUE,1000
PL_E_Balance,DK_E_Balance,electricity,TRUE,1000
PL_E_Balance,CZ_E_Balance,electricity,TRUE,1000
PL_E_Balance,DE_E_Balance,electricity,TRUE,1000
SE_E_Balance,DK_E_Balance,electricity,TRUE,1000
SE_E_Balance,PL_E_Balance,electricity,TRUE,1000
SE_E_Balance,DE_E_Balance,electricity,TRUE,1000
NO_E_Balance,DK_E_Balance,electricity,TRUE,1000
NO_E_Balance,NL_E_Balance,electricity,TRUE,1000
NO_E_Balance,DE_E_Balance,electricity,TRUE,1000
NO_E_Balance,SE_E_Balance,electricity,TRUE,1000
NO_E_Balance,UK_E_Balance,electricity,TRUE,1000
ES_E_Balance,FR_E_Balance,electricity,TRUE,1000
PT_E_Balance,ES_E_Balance,electricity,TRUE,1000
IT_E_Balance,FR_E_Balance,electricity,TRUE,1000
IT_E_Balance,CH_E_Balance,electricity,TRUE,1000
IT_E_Balance,AT_E_Balance,electricity,TRUE,1000
MT_E_Balance,IT_E_Balance,electricity,TRUE,1000
SI_E_Balance,AT_E_Balance,electricity,TRUE,1000
SI_E_Balance,IT_E_Balance,electricity,TRUE,1000
HU_E_Balance,AT_E_Balance,electricity,TRUE,1000
HU_E_Balance,SI_E_Balance,electricity,TRUE,1000
SK_E_Balance,CZ_E_Balance,electricity,TRUE,1000
SK_E_Balance,HU_E_Balance,electricity,TRUE,1000
SK_E_Balance,PL_E_Balance,electricity,TRUE,1000
LT_E_Balance,SE_E_Balance,electricity,TRUE,1000
LT_E_Balance,PL_E_Balance,electricity,TRUE,1000
LV_E_Balance,LT_E_Balance,electricity,TRUE,1000
EE_E_Balance,LV_E_Balance,electricity,TRUE,1000
FI_E_Balance,EE_E_Balance,electricity,TRUE,1000
FI_E_Balance,SE_E_Balance,electricity,TRUE,1000
HR_E_Balance,HU_E_Balance,electricity,TRUE,1000
HR_E_Balance,SI_E_Balance,electricity,TRUE,1000
GR_E_Balance,IT_E_Balance,electricity,TRUE,1000
BG_E_Balance,GR_E_Balance,electricity,TRUE,1000
RO_E_Balance,BG_E_Balance,electricity,TRUE,1000
RO_E_Balance,HU_E_Balance,electricity,TRUE,1000
CY_E_Balance,GR_E_Balance,electricity,TRUE,1000
OBZLL_E_Balance,NL_E_Balance,electricity,TRUE,1000
OBZLL_E_Balance,UK_E_Balance,electricity,TRUE,1000
OBZNL1_E_Balance,NL_E_Balance,electricity,TRUE,1000
OBZNL1_E_Balance,UK_E_Balance,electricity,TRUE,1000
OBZNL2_E_Balance,NL_E_Balance,electricity,TRUE,1000
OBZNL2_E_Balance,OBZDK1_E_Balance,electricity,TRUE,1000
OBZNL3_E_Balance,NL_E_Balance,electricity,TRUE,1000
OBZNL3_E_Balance,OBZDK1_E_Balance,electricity,TRUE,1000
OBZNL4_E_Balance,NL_E_Balance,electricity,TRUE,1000
OBZNL5_E_Balance,NL_E_Balance,electricity,TRUE,1000
OBZNL5_E_Balance,NO_E_Balance,electricity,TRUE,1000
OBZNL6_E_Balance,NL_E_Balance,electricity,TRUE,1000
OBZNL6_E_Balance,OBZDE1_E_Balance,electricity,TRUE,1000
OBZDE1_E_Balance,DE_E_Balance,electricity,TRUE,1000
OBZDK1_E_Balance,DK_E_Balance,electricity,TRUE,1000
