string,string,int,#units,#units
from_asset,to_asset,year,initial_export_units,initial_import_units
NL_E_Balance,BE_E_Balance,2030,3.4,2.4
DE_E_Balance,NL_E_Balance,2030,5.0,5.0
DE_E_Balance,BE_E_Balance,2030,1.0,1.0
FR_E_Balance,DE_E_Balance,2030,1.5,1.5
FR_E_Balance,BE_E_Balance,2030,1.0,1.0
DK_E_Balance,DE_E_Balance,2030,0.6,0.6
DK_E_Balance,NL_E_Balance,2030,0.7,0.7
UK_E_Balance,BE_E_Balance,2030,1.0,1.0
UK_E_Balance,DK_E_Balance,2030,1.4,1.4
UK_E_Balance,FR_E_Balance,2030,2.0,2.0
UK_E_Balance,NL_E_Balance,2030,2.0,2.0
IE_E_Balance,UK_E_Balance,2030,0.504,0.504
IE_E_Balance,FR_E_Balance,2030,0.7,0.7
CH_E_Balance,DE_E_Balance,2030,4.2,3.0
CH_E_Balance,FR_E_Balance,2030,0.5,0.5
AT_E_Balance,CH_E_Balance,2030,1.2,1.2
AT_E_Balance,DE_E_Balance,2030,1.5,1.5
LU_E_Balance,BE_E_Balance,2030,0.18,0.68
LU_E_Balance,DE_E_Balance,2030,2.3,2.3
LU_E_Balance,FR_E_Balance,2030,0.0,0.38
CZ_E_Balance,AT_E_Balance,2030,0.9,0.9
CZ_E_Balance,DE_E_Balance,2030,2.1,1.5
PL_E_Balance,DK_E_Balance,2030,0.6,0.6
PL_E_Balance,CZ_E_Balance,2030,0.8,0.6
PL_E_Balance,DE_E_Balance,2030,3.0,2.0
SE_E_Balance,DK_E_Balance,2030,2.015,2.415
SE_E_Balance,PL_E_Balance,2030,0.6,0.6
SE_E_Balance,DE_E_Balance,2030,0.7,0.7
NO_E_Balance,DK_E_Balance,2030,1.64,1.64
NO_E_Balance,NL_E_Balance,2030,0.7,0.7
NO_E_Balance,DE_E_Balance,2030,1.4,1.4
NO_E_Balance,SE_E_Balance,2030,3.695,3.995
NO_E_Balance,UK_E_Balance,2030,1.4,1.4
ES_E_Balance,FR_E_Balance,2030,1.5,1.5
PT_E_Balance,ES_E_Balance,2030,3.5,4.2
IT_E_Balance,FR_E_Balance,2030,2.0,4.1
IT_E_Balance,CH_E_Balance,2030,1.5,3.75
IT_E_Balance,AT_E_Balance,2030,0.5,0.5
MT_E_Balance,IT_E_Balance,2030,0.2,0.2
SI_E_Balance,AT_E_Balance,2030,0.95,0.95
SI_E_Balance,IT_E_Balance,2030,0.125,0.125
HU_E_Balance,AT_E_Balance,2030,0.8,0.8
HU_E_Balance,SI_E_Balance,2030,1.2,1.2
SK_E_Balance,CZ_E_Balance,2030,1.1,1.8
SK_E_Balance,HU_E_Balance,2030,2.6,1.8
SK_E_Balance,PL_E_Balance,2030,0.99,0.99
LT_E_Balance,SE_E_Balance,2030,0.7,0.7
LT_E_Balance,PL_E_Balance,2030,0.7,0.7
LV_E_Balance,LT_E_Balance,2030,0.95,0.95
EE_E_Balance,LV_E_Balance,2030,1.1,0.9
FI_E_Balance,EE_E_Balance,2030,1.016,1.0
FI_E_Balance,SE_E_Balance,2030,2.1,2.0
HR_E_Balance,HU_E_Balance,2030,1.7,1.7
HR_E_Balance,SI_E_Balance,2030,2.0,2.0
GR_E_Balance,IT_E_Balance,2030,0.5,0.5
BG_E_Balance,GR_E_Balance,2030,1.7,1.4
RO_E_Balance,BG_E_Balance,2030,1.4,1.5
RO_E_Balance,HU_E_Balance,2030,0.5,0.5
CY_E_Balance,GR_E_Balance,2030,1.0,1.0
