Variable,ShortName,Week,Hours,AL00,AT00,BA00,BE00,BG00,CH00,CZ00,DE00,ES00,FI00,FR00,GR00,HR00,HU00,IE00,LT00,LV00,ME00,MK00,NL00,PL00,PT00,RO00,RS00,SI00,SK00,UK00,IT00,LU00,SE00,NO00
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,1,168,0,0,0,0,0,0.510907075,0,0,0,0.339059675,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0,0,0,0.214987835,0.546666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,2,168,0,0,0,0,0,0.489603708,0,0,0,0.330922242,0.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.211244909,0.527666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,3,168,0,0,0,0,0,0.455094744,0,0,0,0.318987342,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549,0,0,0,0.207372952,0.508333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,4,168,0,0,0,0,0,0.404390238,0,0,0,0.30596745,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504,0,0,0,0.216667788,0.485333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,5,168,0,0,0,0,0,0.353810313,0,0,0,0.298915009,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514,0,0,0,0.201265949,0.460333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,6,168,0,0,0,0,0,0.303105807,0,0,0,0.290958409,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502,0,0,0,0.166277408,0.429333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,7,168,0,0,0,0,0,0.282425345,0,0,0,0.267992767,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447,0,0,0,0.14048437,0.394333333
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,8,168,0,0,0,0,0,0.261869464,0,0,0,0.243942134,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388,0,0,0,0.102919606,0.357666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,9,168,0,0,0,0,0,0.241189002,0,0,0,0.220976492,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0,0,0,0.09287346,0.328666667
"Minimum reservoir level, historical [0, 1]",MIN_RES_HIST,10,168,0,0,0,0,0,0.22050854,0,0,0,0.203074141,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413,0,0,0,0.080622351,0.300666667
